Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 14-Dec-2024 at 17:11:14.
Created 14-Dec-2024 17:11:14.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.53426E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	 0.000088	 0.003587	 0.000007	 0.000294	 0.000000
 0.0750	 	 	 	 	 0.000000
 0.1000	 0.000394	 0.008989	 0.000034	 0.000823	 0.000000
 0.1250	 	 	 	 	 0.000000
 0.1500	 0.001062	 0.018480	 0.000104	 0.002018	 0.000000
 0.1750	 	 	 	 	 0.000000
 0.2000	 0.002264	 0.031007	 0.000238	 0.003446	 0.000000
 0.2250	 	 	 	 	 0.000000
 0.2500	 0.004138	 0.046225	 0.000444	 0.005010	 0.000000
 0.2750	 	 	 	 	 0.000000
 0.3000	 0.006828	 0.064592	 0.000730	 0.006745	 0.000000
 0.3250	 	 	 	 	 0.000000
 0.3500	 0.010409	 0.083070	 0.001094	 0.008268	 0.000000
 0.3750	 	 	 	 	 0.000000
 0.4000	 0.014945	 0.103908	 0.001532	 0.009757	 0.000000
 0.4250	 	 	 	 	 0.000000
 0.4500	 0.020507	 0.125438	 0.002038	 0.011077	 0.000000
 0.4750	 	 	 	 	 0.000000
 0.5000	 0.027144	 0.148211	 0.002603	 0.012240	 0.000000
 0.5250	 	 	 	 	 0.000000
 0.5500	 0.034936	 0.172990	 0.003221	 0.013241	 0.000000
 0.5750	 	 	 	 	 0.000000
 0.6000	 0.043948	 0.198454	 0.003883	 0.014072	 0.000000
 0.6250	 	 	 	 	 0.000000
 0.6500	 0.054201	 0.224078	 0.004585	 0.014864	 0.000000
 0.6750	 	 	 	 	 0.000000
 0.7000	 0.065670	 0.248587	 0.005326	 0.015702	 0.000000
 0.7250	 	 	 	 	 0.000000
 0.7500	 0.078333	 0.273133	 0.006104	 0.016387	 0.000000
 0.7750	 	 	 	 	 0.000000
 0.8000	 0.092201	 0.297975	 0.006909	 0.016852	 0.000000
 0.8250	 	 	 	 	 0.000000
 0.8500	 0.107270	 0.322362	 0.007734	 0.017196	 0.000000
 0.8750	 	 	 	 	 0.000000
 0.9000	 0.123463	 0.343992	 0.008571	 0.017392	 0.000000
 0.9250	 	 	 	 	 0.000000
 0.9500	 0.140613	 0.361200	 0.009411	 0.017382	 0.000000
 0.9750	 	 	 	 	 0.000000
 1.0000	 0.158435	 0.370994	 0.010249	 0.017293	 0.000000


 -------- Mode No.   2  (freq = 0.72240E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000000
 0.0500	-0.000014	-0.000573	 0.000192	 0.007827	 0.000000
